,poet,poem,dynasty,setiments,title,arousal
638,陆游,展画发古香|弄笔娱昼寂|是中亦何好|使我喜忘食,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '5'}",夏日三首,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
639,文天祥,清浅风流圣得知|黄昏归鹤月来时|岭头更有高寒处|却是江南第一枝,宋,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '3', 'line4': '4'}",赠南安黄梅峰,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
640,司马光,寒食良辰无赏心|杂花烂熳柳成阴|若非独酌酬佳景|一日风光直万金,宋,"{'holistic': '3', 'line1': '2', 'line2': '4', 'line3': '2', 'line4': '4'}",寒食游南园独饮,"{'holistic': '4', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '4'}"
641,陈宓,物性由来易变迁|精金百鍊始知坚|相逢即别无佳语|有负慇勤见赠篇,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '2', 'line4': '3'}",和泉州施通判,"{'holistic': '4', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '4'}"
642,陆游,藩篱处处蔓牵牛|薏苡丛深稗穗抽|只道物生常茂遂|一宵风雨又成秋,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '2'}",夜雨,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
643,舒庆春,八年尚忆钗头凤|今夕欣看烛蒂哥|宜喜宜悲情似海|轻愁微笑漾春波,近现代,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '5', 'line4': '4'}",观林务夏同志演贻顺哥,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
644,杨万里,谁道村郊野味侵|柴扉竹榻草花清|行行且止成佳梦|不减崔张惊梦身,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}",题罗溪李店,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
645,刘克庄,肉眼安能辨圣凡|有时巾褐过城南|亦无肘后堪传汝|且向纯阳两字参,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",鹤会三首,"{'holistic': '4', 'line1': '2', 'line2': '3', 'line3': '4', 'line4': '4'}"
646,屈大均,鹃花为我血殷红|朵朵清明涕泪中|望帝春心终不死|幽林处处是蚕丛,明,"{'holistic': '3', 'line1': '2', 'line2': '4', 'line3': '3', 'line4': '3'}",暮春山行,"{'holistic': '4', 'line1': '4', 'line2': '2', 'line3': '4', 'line4': '4'}"
647,陆游,鼍鼓华鲸响寺廊|残芜落叶弄秋光|蹇驴系著门前柳|闲觅题名拂败墙,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '2'}",秋兴十二首,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
648,刘宰,万钉宝带诚堪羡|七字成诗喜欲狂|世事浮华有真趣|赠君一笑作行囊,宋,"{'holistic': '5', 'line1': '4', 'line2': '5', 'line3': '5', 'line4': '4'}",赠沈术士号金腰带,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}"
649,金朝觐,无碍庄严法界开|诸天欢喜见如来|分明瓶柳垂甘露|又度人间小善才,淸,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}",题惠远禅师小照,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '2', 'line4': '2'}"
650,区大相,生平丘壑意|到此即情畅|花鸟入新年|欣欣巳相向,明,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}",正月十五日霍君仪邀游朱季美山池同用畅超然之高情为韵,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '2'}"
651,李涉,云木苍苍数万株|此中言命的应无|人生不得如松树|却遇秦封作大夫,唐,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",题五松驿,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}"
652,白居易,火急欢娱慎勿迟|眼看老病悔难追|尊前花下歌筵里|会有求来不得时,唐,"{'holistic': '3', 'line1': '3', 'line2': '2', 'line3': '4', 'line4': '2'}",劝欢,"{'holistic': '4', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '4'}"
653,刘克庄,先帝宫人总道妆|遥瞻陵柏泪成行|旧恩恰似蔷薇水|滴在罗衣到死香,宋,"{'holistic': '2', 'line1': '3', 'line2': '1', 'line3': '2', 'line4': '2'}",宫词四首,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
654,陆游,死去元知万事空|但悲不见九州同|王师北定中原日|家祭无忘告乃翁,宋,"{'holistic': '1', 'line1': '2', 'line2': '1', 'line3': '3', 'line4': '3'}",示儿,"{'holistic': '4', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '4'}"
655,张耒,登坛一日冠羣雄|钟室仓皇念蒯通|能用能诛谁计策|嗟君终自愧萧公,宋,"{'holistic': '3', 'line1': '4', 'line2': '3', 'line3': '3', 'line4': '2'}",韩信,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}"
656,黄庭坚,羣猪过饮尚可醉|疥手轑瓮庸何伤|柳家兄弟太迫窄|狂药不容人发狂,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",谢答闻善二兄九绝句,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}"
657,元好问,文章得失寸心知|千古朱弦属子期|爱杀溪南辛老子|相从何止十年迟,元,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",自题中州集后五首,"{'holistic': '4', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '4'}"
658,杨万里,却因理发得披文|看尽庐山笔底春|寄语可师休祝发|癞边犹有去年痕,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",梳头看可正平诗有寄养直时未祝发等篇戏题七字二首,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
659,杨万里,江山有约未应疎|浪自忙中白却须|我昔属官今属我|子能略伴瘦藤无,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",送傅山人二绝句,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}"
660,宋祁,堂皇对岑蔚|欢酌坐怡然|蟹美持螯日|鲂甘抑鲊天,宋,"{'holistic': '5', 'line1': '4', 'line2': '5', 'line3': '5', 'line4': '5'}",阅古堂,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '2', 'line4': '2'}"
661,晏殊,兰香爇处光犹浅|银烛烧时焰不馨|好向书生窗下种|免教辛苦更囊萤,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '3'}",金灯花,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
662,陶安,烛龙飞出晓山巅|草木欣欣总畅然|洞里白云閒已乆|又随玄鹤上瑶天,明,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}",奉赓御制诗韵三首送茅山宗师,"{'holistic': '4', 'line1': '3', 'line2': '2', 'line3': '4', 'line4': '4'}"
663,刘克庄,蜀女羞施粉|轻装爱淡红|抹涂尚年少|膏沐为谁容,宋,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '3'}",海棠七首,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '2'}"
664,杨万里,城中殊未有梅看|莫是冬暄欠浅寒|行到深山最寒处|两株香雪照冰滩,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",晓炊黄竹庄三首,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
665,元好问,杨柳青青沟水流|莺儿调舌弄娇柔|桃花记得题诗客|斜倚春风笑不休,元,"{'holistic': '5', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '5'}",杨柳,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '2'}"
666,杨万里,只愁江水去无还|石打银涛倒上滩|道是此滩天下恶|古今放过几樯竿,宋,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '3'}",皇恐滩三首,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
667,张翥,富贵危机解杀身|是非千古付樵人|当时长史魂应悔|不向山中只负薪,元,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",朱翁子负薪卷,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}"
668,王绂,纶音褒美拜恩归|父子同荣世所稀|不但到家人共喜|旧时泉石总生辉,明,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '5', 'line4': '4'}",送大学士黄静庵先生拜封归永嘉,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
669,黄庭坚,朔风吹雪满都城|晓踏骅骝访玉京|相引槽头看春酒|细流三峡夜泉声,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '3'}",访赵君举,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '3'}"
670,吴融,春红始谢又秋红|息国亡来入楚宫|应是蜀冤啼不尽|更凭颜色诉西风,唐,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}",送杜鹃花,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}"
671,杨万里,杏花千树洛阳春|白傅年年爱赵村|月蕊晴葩风露格|老夫移得在东园,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",赵村,"{'holistic': '3', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '3'}"
672,魏初,广寒秋颖雪离披|汤沐中书旧有期|千古管城今乐地|未应人笑是书痴,元,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",赠笔工李子昭,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}"
673,韦庄,蜀魄湘魂万古悲|未悲秦相死秦时|临刑莫恨仓中鼠|上蔡东门去自迟,唐,"{'holistic': '2', 'line1': '1', 'line2': '1', 'line3': '2', 'line4': '2'}",题李斯传,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}"
674,释函可,狱吏何妨溺死灰|独将鸡肋抵轰雷|翻嫌昔日王孙饿|宁受尊拳不受哀,明,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",贺孝公被挞二首,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}"
675,苏辙,南国高人真巨源|华堂邂逅接清樽|十年一见都如梦|莫怪终宵语笑喧,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}",雪中会孙洙舍人饮王氏西堂戏成三绝,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '2'}"
676,苏辙,湖山欲买恨无钱|且尽芳樽对玉盘|菱角鸡头应已厌|蟹螯马颊更勤餐,宋,"{'holistic': '4', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '4'}",次韵子瞻望湖楼上五绝,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
677,司马光,雪霜哀鬓拔还生|桃李新园长未成|五十尚能胜六十|今年又灭去年情,宋,"{'holistic': '3', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '2'}",次韵和复古春日五绝句,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
678,魏了翁,醵酒成欢似旅酬|偶然解后得英游|却因乐极生良感|今夜蟾光照几州,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '4'}",和虞退夫韵,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}"
679,黄廷用,辉辉南极映春城|玉署彤闱客里情|遥忆诸郎娱寿彩|独怜游子在神京,明,"{'holistic': '2', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '2'}",为李东冈都谏题双寿,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
680,陆游,色如玉版猫头笋|味抵驼峰牛尾狸|归向妻孥誇至夕|书生寒乞定难医,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '3'}",周洪道招食江西笋归为绝句,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
681,彭汝砺,公才酬酢有馀闲|六路从容指顾间|仁泽但令民共乐|不妨清赏遍江山,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '5', 'line4': '4'}",游真州东园惜其将废运使兵部子正近止因寄小诗,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
682,刘克庄,细切如丝菜|添斟献颂椒|未曾守除夜|早已问元宵,宋,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '3'}",岁除即事十首,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '2'}"
683,杨娃,莲开宫沼年年盛|香染斑衣叶叶新|愿借琴音奏清雅|薰风凉殿寿双亲,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",题赵伯骕画,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
684,杜牧,镜中丝发悲来惯|衣上尘痕拂渐难|惆怅江湖钓竿手|却遮西日向长安,唐,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}",途中一绝,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
685,高启,笑披纱扇忆当年|只有卿卿最得怜|今日料应花不住|夜灯相伴室中禅,明,"{'holistic': '2', 'line1': '4', 'line2': '4', 'line3': '2', 'line4': '2'}",慰周著作悼亡,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '2'}"
686,陆游,少慕浮名百种痴|老知世事尽儿嬉|从今春困不须卖|睡到日高三丈时,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",岁暮六首,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '3'}"
687,陆游,风雨长亭话别离|忍看清涙湿燕脂|酒光摇荡歌云暖|不似西楼夜宴时,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '2'}",新津小宴之明日欲逰修觉寺以雨不果呈范舍人二首,"{'holistic': '4', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '4'}"
688,陈为,耆英胜会庆休祥|共祝三多介寿觞|帝德天休同眷顾|年年歌咏九如章,淸,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",曹仁宪谨荣寿七言截句,"{'holistic': '4', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '4'}"
689,张元干,英灵精爽平生话|尚记先生苜蓿槃|仙去星辰终不灭|至今梦想骨毛寒,宋,"{'holistic': '3', 'line1': '4', 'line2': '3', 'line3': '3', 'line4': '2'}",上平江陈侍郎十绝,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}"
690,常纪,谪后疏狂祗自怜|淋漓醉墨染蛮烟|胸中血泪犹千斛|风景谁云裂老颠,淸,"{'holistic': '1', 'line1': '2', 'line2': '3', 'line3': '1', 'line4': '2'}",新都县吊杨升庵先生,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}"
691,张孝祥,风光猎猎上乌巾|不那西湖烂熳春|借我绳床对脩竹|为君一洗软红尘,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",题西湖可赋轩,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
692,李之仪,扫除不尽自无痕|底事狂缘尚有根|几日宁宁图画里|祇缘归思在江村,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '2'}",再和观画三首,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '4'}"
693,许家惺,大招今日赋巫阳|岭海犹飘晚节香|惆怅黄花冈下过|几人洒涕吊沙场,近现代,"{'holistic': '2', 'line1': '3', 'line2': '4', 'line3': '2', 'line4': '2'}",吊黄花冈限阳香场韵（三首）,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
694,陆游,谁持緑酒醉幽人|鹤氅笻枝发兴新|今夜湖边有奇事|青山缺处涌冰轮,宋,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '3'}",湖村月夕四首,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
695,王安石,溪水清涟树老苍|行穿溪树踏春阳|溪深树密无人处|唯有幽花渡水香,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}",天童山溪上,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
696,杨万里,莲叶头巾道样裁|仙桃扇子午时回|扑蝇堕地犹能旋|闭阁生尘底处来,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",初夏即事十二解,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
697,文天祥,溪头浊潦拥鱼虾|笑杀渔翁下钓差|棹取扁舟湖海去|悠悠心事寄芦花,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '2'}",寄故人刘方斋,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '2'}"
698,梅尧臣,折却毛鱼一品资|吴郎声屈向吾诗|若论鮆子无从著|冤气冲喉未可知,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}",正仲答云鲎醤乃是毛鱼耳走笔戏之,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}"
699,汪应辰,年年时节近天申|喜气欢声逐日新|请祝圣人如一口|定知德寿万年春,宋,"{'holistic': '5', 'line1': '5', 'line2': '5', 'line3': '5', 'line4': '5'}",太上皇帝閤端午帖子词,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '2', 'line4': '2'}"
700,范成大,船旗衮衮径长淮|汴口人看拨不开|昨夜南风浪如屋|果然双节下天来,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",渡淮,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
701,张耒,楚泽春残雨又风|啼莺芳草思无穷|芜菁满地黄金烂|不及蔷薇一点红,宋,"{'holistic': '5', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '5'}",西园风雨杂花谢,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
702,杨万里,肩舆九步十倾欹|下有冰河不敢窥|冰上水禽行似箭|忽逢缺处得鱼儿,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",雪中送客过清水闸二首,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
703,范成大,谷雨如丝复似尘|煮瓶浮蜡正尝新|牡丹破萼樱桃熟|未许飞花减却春,宋,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '2'}",四时田园杂兴六十首,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
704,曾巩,行止恂恂众所褒|东南佳誉映时髦|洞无畦畛心常坦|凛若冰霜节最高,宋,"{'holistic': '4', 'line1': '4', 'line2': '5', 'line3': '4', 'line4': '4'}",酬柳国博,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
705,高启,弱夫杀壮士|谁敢婴余怒|今日古城边|耕人肆侵墓,明,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '2'}",要离墓,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '4'}"
706,王彦泓,丰神宜笑韵宜嗔|随意梳头态更真|流品自知应第一|不劳寻见尹夫人,明,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",闲事杂题,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}"
707,黄景仁,年年此夕费吟呻|儿女灯前窃笑频|汝辈何知吾自悔|枉抛心力作诗人,淸,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '3'}",癸巳除夕偶成,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '2', 'line4': '2'}"
708,罗必元,金陵佳丽不虚传|浦浦荷花水上仙|未会与民同乐意|却于宫里看金莲,宋,"{'holistic': '3', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '3'}",金莲步,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
709,陆游,酒兴森然不可回|重阳未到菊先开|一双鱍剌明吾眼|催唤厨人斫鲙来,宋,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '4', 'line4': '4'}",偶得双鲫二首,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
710,夏竦,太官角黍迎嘉节|上圣斋居袭美祥|金阙鉴观真绪远|永延鸿庆庇多方,宋,"{'holistic': '5', 'line1': '4', 'line2': '5', 'line3': '4', 'line4': '5'}",御阁端午帖子,"{'holistic': '4', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '4'}"
711,范成大,戈船战棹疾如飞|莫遣潮沙淀海湄|草奏直须穷利病|奉身从此系安危,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",次韵袁起岩许浦按教水军二绝句,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
712,姜夔,越国霸来头已白|洛京归后梦犹惊|沈思只羡天随子|蓑笠寒江过一生,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '2'}",三髙祠,"{'holistic': '2', 'line1': '4', 'line2': '4', 'line3': '2', 'line4': '2'}"
713,杨万里,敬亭宛水故依然|叠嶂双溪阿那边|谢守不生梅老死|倩谁海内掌风烟,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '3'}",晓过花桥入宣州界四首,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
714,苏轼,一杯连坐两髯棋|数片深红入座飞|十分潋滟君休赤|且看桃花好面皮,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}",刘监仓家煎米粉作饼子余云为甚酥潘邠老家造逡巡酒余饮之云莫作醋错著水来否？后数日携家饮郊外因作小诗戏刘公求之二首,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
715,王安石,柔桑采尽绿阴稀|芦箔蚕成密茧肥|聊向村家问风俗|如何勤苦尚凶饥,宋,"{'holistic': '3', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '2'}",郊行,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
716,郑谷,承时偷喜负明神|务实那能得庇身|不会苍苍主何事|忍饥多是力耕人,唐,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",偶书,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
717,苏轼,凄凉雨露三年后|仿佛尘埃数字馀|至用榴皮缘底事|中书君岂不中书,宋,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '3'}",回先生过湖州东林沈氏饮醉以石榴皮书其家东老庵之壁云：「西邻已富忧不足东老虽贫乐有馀白酒酿来因好客黄金散尽为收书」西蜀和仲闻而次其韵三首东老沈氏之老自谓也湖人因以名之其子偕作诗有可观者,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '4', 'line4': '4'}"
718,陆游,古言忍字似而非|独有痴顽二字奇|此是龟堂安乐法|大书铭座更何疑,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",杂感四首,"{'holistic': '4', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '4'}"
719,家铉翁,诗人偏爱渔人乐|渔乐诗情一样奇|欸乃数声烟雨外|非宫非徵自成诗,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",隠者图,"{'holistic': '3', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '3'}"
720,杨万里,风从独树忽然来|雨去前山远却回|留许枝间慰愁眼|儿童抵死打黄梅,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",梅熟小雨,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}"
721,王安石,幽兰有佳气|千载閟山阿|不出阿兰若|岂遭乾闼婆,宋,"{'holistic': '3', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '3'}",朱朝议移法云兰,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
722,陈宓,疎花早不奈香何|三叠琼葩底用多|最是动人情意处|黄梅已老未逢荷,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '3'}",县圃栀子花三重生简潘君,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
723,范成大,女僮流汗逐毡軿|云在淮乡有父兄|屠婢杀奴官不问|大书黥面罚犹轻,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '1', 'line4': '1'}",清远店,"{'holistic': '4', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '4'}"
724,张耒,容易得愁即不去|苦教春物唤愁生|遣愁饮酒大拙计|遣谁蹙眉为慢声,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}",漫成三首,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '4'}"
725,陆游,傍檐百舌语璁珑|已觉新春在眼中|欲起未成还小睡|忽看初日满窗红,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}",起晚,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
726,杜牧,谢傅秋凉阅管弦|徒教贱子侍华筵|溪头正雨归不得|辜负东窗一觉眠,唐,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '3'}",醉后呈崔大夫,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}"
727,宋无,瘦蹄生入玉门关|病放沙场战骨閒|归龁残刍应有泪|将军头白戍天山,元,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}",老马,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}"
